2025-06-04 18:08:40,532 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_A/Position_01/Temperature/9f42a1c3 - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_A/Position_01/Temperature/9f42a2025-06-04 18:16:22,579 - WARNING - Disconnected normally.
.5327175, 'v': 21.1}]}
2025-06-04 18:08:40,533 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_01/Light_Intensity/f47ac10b - {2025-06-04 18:08:40,932 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_06/CO2_Concentration/9947c72f/Exhaust_Fan - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_06/CO2_Concentration/9947c72f/Exhaust_Fan', 'e': [{'n': 'Exhaust_Fan', 'u': 'ppm', 't': 1749053320.9311867, 'v': False}]}
2025-06-04 18:08:40,932 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_C/Position_05/So2025-06-04 18:08:50,231 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_03/CO2_Concentration/faf26dec/Exhaust_Fan/7e2e63ef/statusChanged - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_03/CO2_Concentration/faf26dec/Exhaust_Fan/7e2e63ef/statusChanged', 'e': [{'n': 'Exhaust_Fan', 'u': ' ', 't': 1749053330.2310967, 'v': False}]}
2025-06-04 18:08:54,243 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_01/Light_Intensity/f47ac10b/Sunshade_Net/f89cd694/statusChanged - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_01/Light_Intensity/f47ac10b/Sunshade_Net/f89cd694/statusChanged', 'e': [{'n': 'Sunshade_Net', 'u': ' ', 't': 1749053334.243436, 'v': False}]}
2025-06-04 18:09:18,849 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_06/CO2_Concentration/9947c72f/Carbon_Dioxide_Generator - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_06/CO2_Concentration/9947c72f/Carbon_Dioxide_Generator', 'e': [{'n': 'Carbon_Dioxide_Generator', 'u': 'ppm', 't': 1749053358.8496037, 'v': False}]}
2025-06-04 18:09:19,844 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_01/Light_Intensity/f47ac10b/Sunshade_Net - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_01/Light_Intensity/f47ac10b/Sunshade_Net', 'e': [{'n': 'Sunshade_Net', 'u': 'lx', 't': 1749053359.843475, 'v': False}]}
2025-06-04 18:09:19,844 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_01/Light_Intensity/f47ac10b/LED_Light - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_01/Light_Intensity/f47ac10b/LED_Light', 'e': [{'n': 'LED_Light', 'u': 'lx', 't': 1749053359.844513, 'v': False}]}
2025-06-04 18:09:19,845 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_A/Position_02/Temperature/d559dc98/Cooler - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_A/Position_02/Temperature/d559dc98/Cooler', 'e': [{'n': 'Cooler', 'u': 'Cel', 't': 1749053359.8455195, 'v': False}]}
2025-06-04 18:09:19,846 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_A/Position_02/Temperature/d559dc98/Heater - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_A/Position_02/Temperature/d559dc98/Heater', 'e': [{'n': 'Heater', 'u': 'Cel', 't': 1749053359.8464675, 'v': False}]}
2025-06-04 18:09:19,846 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_C/Position_05/Soil_Moisture/ffee552a/Drip_Irrigation_Pipe - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_C/Position_05/Soil_Moisture/ffee552a/Drip_Irrigation_Pipe', 'e': [{'n': 'Drip_Irrigation_Pipe', 'u': '%', 't': 1749053359.8455195, 'v': False}]}
2025-06-04 18:09:20,871 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_03/Temperature/580f8d2d/Cooler - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_03/Temperature/580f8d2d/Cooler', 'e': [{'n': 'Cooler', 'u': 'Cel', 't': 1749053360.8710306, 'v': False}]}
2025-06-04 18:09:20,871 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_03/Temperature/580f8d2d/Heater - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_03/Temperature/580f8d2d/Heater', 'e': [{'n': 'Heater', 'u': 'Cel', 't': 1749053360.8710306, 'v': False}]}
2025-06-04 18:09:22,833 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_A/Position_01/Temperature/9f42a1c3/Cooler - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_A/Position_01/Temperature/9f42a1c3/Cooler', 'e': [{'n': 'Cooler', 'u': 'Cel', 't': 1749053362.833489, 'v': False}]}
2025-06-04 18:09:22,834 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_A/Position_01/Temperature/9f42a1c3/Heater - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_A/Position_01/Temperature/9f42a1c3/Heater', 'e': [{'n': 'Heater', 'u': 'Cel', 't': 1749053362.834497, 'v': False}]}
2025-06-04 18:09:22,848 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_C/Position_03/Soil_Moisture/a7b8c6d4/Drip_Irrigation_Pipe - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_C/Position_03/Soil_Moisture/a7b8c6d4/Drip_Irrigation_Pipe', 'e': [{'n': 'Drip_Irrigation_Pipe', 'u': '%', 't': 1749053362.847136, 'v': False}]}
2025-06-04 18:09:24,864 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_02/CO2_Concentration/4b1e9d2f/Exhaust_Fan - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_02/CO2_Concentration/4b1e9d2f/Exhaust_Fan', 'e': [{'n': 'Exhaust_Fan', 'u': 'ppm', 't': 1749053364.8629427, 'v': False}]}
2025-06-04 18:09:24,864 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_02/CO2_Concentration/4b1e9d2f/Carbon_Dioxide_Generator - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_02/CO2_Concentration/4b1e9d2f/Carbon_Dioxide_Generator', 'e': [{'n': 'Carbon_Dioxide_Generator', 'u': 'ppm', 't': 1749053364.8640351, 'v': False}]}
2025-06-04 18:09:25,861 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_03/CO2_Concentration/faf26dec/Exhaust_Fan - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_03/CO2_Concentration/faf26dec/Exhaust_Fan', 'e': [{'n': 'Exhaust_Fan', 'u': 'ppm', 't': 1749053365.8607569, 'v': False}]}
2025-06-04 18:09:25,861 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_03/CO2_Concentration/faf26dec/Carbon_Dioxide_Generator - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_03/CO2_Concentration/faf26dec/Carbon_Dioxide_Generator', 'e': [{'n': 'Carbon_Dioxide_Generator', 'u': 'ppm', 't': 1749053365.861757, 'v': False}]}
2025-06-04 18:09:25,862 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_A/Position_02/Soil_Moisture/203045fb/Drip_Irrigation_Pipe - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_A/Position_02/Soil_Moisture/203045fb/Drip_Irrigation_Pipe', 'e': [{'n': 'Drip_Irrigation_Pipe', 'u': '%', 't': 1749053365.861757, 'v': False}]}
2025-06-04 18:09:26,841 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_D/Position_01/Soil_Moisture/a8830d33/Drip_Irrigation_Pipe - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_D/Position_01/Soil_Moisture/a8830d33/Drip_Irrigation_Pipe', 'e': [{'n': 'Drip_Irrigation_Pipe', 'u': '%', 't': 1749053366.8413951, 'v': False}]}
2025-06-04 18:09:28,881 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_03/Temperature/580f8d2d/Cooler - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_03/Temperature/580f8d2d/Cooler', 'e': [{'n': 'Cooler', 'u': 'Cel', 't': 1749053368.8812406, 'v': False}]}
2025-06-04 18:09:28,882 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_03/Temperature/580f8d2d/Heater - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_03/Temperature/580f8d2d/Heater', 'e': [{'n': 'Heater', 'u': 'Cel', 't': 1749053368.8812406, 'v': False}]}
2025-06-04 18:09:31,838 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_03/Light_Intensity/c3d47900/Sunshade_Net - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_03/Light_Intensity/c3d47900/Sunshade_Net', 'e': [{'n': 'Sunshade_Net', 'u': 'lx', 't': 1749053371.8379211, 'v': False}]}
2025-06-04 18:09:31,838 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_03/Light_Intensity/c3d47900/LED_Light - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_03/Light_Intensity/c3d47900/LED_Light', 'e': [{'n': 'LED_Light', 'u': 'lx', 't': 1749053371.8388777, 'v': False}]}
2025-06-04 18:09:32,851 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_A/Position_02/Temperature/d559dc98/Cooler - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_A/Position_02/Temperature/d559dc98/Cooler', 'e': [{'n': 'Cooler', 'u': 'Cel', 't': 1749053372.8510995, 'v': False}]}
2025-06-04 18:09:32,851 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_A/Position_02/Temperature/d559dc98/Heater - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_A/Position_02/Temperature/d559dc98/Heater', 'e': [{'n': 'Heater', 'u': 'Cel', 't': 1749053372.8510995, 'v': False}]}
2025-06-04 18:09:32,853 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_C/Position_05/Soil_Moisture/ffee552a/Drip_Irrigation_Pipe - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_C/Position_05/Soil_Moisture/ffee552a/Drip_Irrigation_Pipe', 'e': [{'n': 'Drip_Irrigation_Pipe', 'u': '%', 't': 1749053372.8536258, 'v': False}]}
2025-06-04 18:09:32,853 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_01/Light_Intensity/f47ac10b/Sunshade_Net - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_01/Light_Intensity/f47ac10b/Sunshade_Net', 'e': [{'n': 'Sunshade_Net', 'u': 'lx', 't': 1749053372.8536258, 'v': False}]}
2025-06-04 18:09:32,855 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_01/Light_Intensity/f47ac10b/LED_Light - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_01/Light_Intensity/f47ac10b/LED_Light', 'e': [{'n': 'LED_Light', 'u': 'lx', 't': 1749053372.855136, 'v': False}]}
2025-06-04 18:09:34,869 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_A/Position_02/Soil_Moisture/203045fb/Drip_Irrigation_Pipe - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_A/Position_02/Soil_Moisture/203045fb/Drip_Irrigation_Pipe', 'e': [{'n': 'Drip_Irrigation_Pipe', 'u': '%', 't': 1749053374.8694623, 'v': False}]}
2025-06-04 18:09:34,871 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_03/CO2_Concentration/faf26dec/Exhaust_Fan - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_03/CO2_Concentration/faf26dec/Exhaust_Fan', 'e': [{'n': 'Exhaust_Fan', 'u': 'ppm', 't': 1749053374.8713884, 'v': False}]}
2025-06-04 18:09:34,871 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_03/CO2_Concentration/faf26dec/Carbon_Dioxide_Generator - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_03/CO2_Concentration/faf26dec/Carbon_Dioxide_Generator', 'e': [{'n': 'Carbon_Dioxide_Generator', 'u': 'ppm', 't': 1749053374.8713884, 'v': False}]}
2025-06-04 18:09:35,865 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_02/CO2_Concentration/4b1e9d2f/Exhaust_Fan - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_02/CO2_Concentration/4b1e9d2f/Exhaust_Fan', 'e': [{'n': 'Exhaust_Fan', 'u': 'ppm', 't': 1749053375.8644853, 'v': False}]}
2025-06-04 18:09:35,865 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_02/CO2_Concentration/4b1e9d2f/Carbon_Dioxide_Generator - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_02/CO2_Concentration/4b1e9d2f/Carbon_Dioxide_Generator', 'e': [{'n': 'Carbon_Dioxide_Generator', 'u': 'ppm', 't': 1749053375.865438, 'v': False}]}
2025-06-04 18:09:36,851 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_C/Position_03/Soil_Moisture/a7b8c6d4/Drip_Irrigation_Pipe - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_C/Position_03/Soil_Moisture/a7b8c6d4/Drip_Irrigation_Pipe', 'e': [{'n': 'Drip_Irrigation_Pipe', 'u': '%', 't': 1749053376.851545, 'v': False}]}
2025-06-04 18:09:36,884 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_03/Temperature/580f8d2d/Cooler - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_03/Temperature/580f8d2d/Cooler', 'e': [{'n': 'Cooler', 'u': 'Cel', 't': 1749053376.8838317, 'v': False}]}
2025-06-04 18:09:36,884 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_03/Temperature/580f8d2d/Heater - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_03/Temperature/580f8d2d/Heater', 'e': [{'n': 'Heater', 'u': 'Cel', 't': 1749053376.8844342, 'v': False}]}
2025-06-04 18:09:37,864 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_06/CO2_Concentration/9947c72f/Exhaust_Fan - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_06/CO2_Concentration/9947c72f/Exhaust_Fan', 'e': [{'n': 'Exhaust_Fan', 'u': 'ppm', 't': 1749053377.862693, 'v': False}]}
2025-06-04 18:09:37,864 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_06/CO2_Concentration/9947c72f/Carbon_Dioxide_Generator - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_06/CO2_Concentration/9947c72f/Carbon_Dioxide_Generator', 'e': [{'n': 'Carbon_Dioxide_Generator', 'u': 'ppm', 't': 1749053377.8641694, 'v': False}]}
2025-06-04 18:09:43,834 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_A/Position_01/Temperature/9f42a1c3/Cooler - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_A/Position_01/Temperature/9f42a1c3/Cooler', 'e': [{'n': 'Cooler', 'u': 'Cel', 't': 1749053383.83411, 'v': False}]}
2025-06-04 18:09:43,834 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_A/Position_01/Temperature/9f42a1c3/Heater - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_A/Position_01/Temperature/9f42a1c3/Heater', 'e': [{'n': 'Heater', 'u': 'Cel', 't': 1749053383.83411, 'v': False}]}
2025-06-04 18:09:43,882 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_A/Position_02/Soil_Moisture/203045fb/Drip_Irrigation_Pipe - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_A/Position_02/Soil_Moisture/203045fb/Drip_Irrigation_Pipe', 'e': [{'n': 'Drip_Irrigation_Pipe', 'u': '%', 't': 1749053383.8828135, 'v': False}]}
2025-06-04 18:09:43,883 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_03/CO2_Concentration/faf26dec/Exhaust_Fan - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_03/CO2_Concentration/faf26dec/Exhaust_Fan', 'e': [{'n': 'Exhaust_Fan', 'u': 'ppm', 't': 1749053383.8811982, 'v': False}]}
2025-06-04 18:09:43,883 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_03/CO2_Concentration/faf26dec/Carbon_Dioxide_Generator - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_03/CO2_Concentration/faf26dec/Carbon_Dioxide_Generator', 'e': [{'n': 'Carbon_Dioxide_Generator', 'u': 'ppm', 't': 1749053383.8839355, 'v': False}]}
2025-06-04 18:09:44,884 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_03/Temperature/580f8d2d/Cooler - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_03/Temperature/580f8d2d/Cooler', 'e': [{'n': 'Cooler', 'u': 'Cel', 't': 1749053384.884497, 'v': False}]}
2025-06-04 18:09:44,885 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_03/Temperature/580f8d2d/Heater - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_03/Temperature/580f8d2d/Heater', 'e': [{'n': 'Heater', 'u': 'Cel', 't': 1749053384.8855243, 'v': False}]}
2025-06-04 18:09:45,862 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_A/Position_02/Temperature/d559dc98/Cooler - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_A/Position_02/Temperature/d559dc98/Cooler', 'e': [{'n': 'Cooler', 'u': 'Cel', 't': 1749053385.862679, 'v': False}]}
2025-06-04 18:09:45,862 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_A/Position_02/Temperature/d559dc98/Heater - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_A/Position_02/Temperature/d559dc98/Heater', 'e': [{'n': 'Heater', 'u': 'Cel', 't': 1749053385.862679, 'v': False}]}
2025-06-04 18:09:45,864 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_01/Light_Intensity/f47ac10b/Sunshade_Net - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_01/Light_Intensity/f47ac10b/Sunshade_Net', 'e': [{'n': 'Sunshade_Net', 'u': 'lx', 't': 1749053385.8641791, 'v': False}]}
2025-06-04 18:09:45,865 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_01/Light_Intensity/f47ac10b/LED_Light - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_01/Light_Intensity/f47ac10b/LED_Light', 'e': [{'n': 'LED_Light', 'u': 'lx', 't': 1749053385.8651721, 'v': False}]}
2025-06-04 18:09:45,866 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_C/Position_05/Soil_Moisture/ffee552a/Drip_Irrigation_Pipe - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_C/Position_05/Soil_Moisture/ffee552a/Drip_Irrigation_Pipe', 'e': [{'n': 'Drip_Irrigation_Pipe', 'u': '%', 't': 1749053385.8662019, 'v': False}]}
